상품명,판매가격,세일여부,1+1,구매여부,세일여부,1+1,1+1에따른가격
CJ 100% 국산 햇당면(400g),4450,N,N,0,0,0,4450
CJ 100% 국산 햇당면(400g),4400,N,N,0,0,0,4400
CJ 100% 국산 햇당면(400g),4200,N,N,0,0,0,4200
CJ 100% 국산 햇당면(400g),4800,Y,N,0,1,0,4800
CJ 100% 국산 햇당면(400g),5000,N,N,1,0,1,2500
CJ 100% 국산 햇당면(400g),6490,N,N,0,0,0,6490
CJ 100% 국산 햇당면(400g),6000,N,N,0,0,0,6000
CJ 100% 국산 햇당면(400g),4510,N,N,0,0,0,4510
CJ 100% 국산 햇당면(400g),4980,N,N,0,0,0,4980
CJ 100% 국산 햇당면(400g),4500,N,N,0,0,0,4500
CJ 100% 국산 햇당면(400g),5080,N,N,0,0,0,5080
CJ 100% 국산 햇당면(400g),6350,N,N,0,0,0,6350
옛날당면,4990,N,N,0,0,0,4990
옛날당면,4400,N,N,0,0,0,4400
옛날당면,5350,N,N,0,0,0,5350
옛날당면,4980,N,N,0,0,0,4980
옛날당면,5600,N,N,0,0,0,5600
옛날당면,4790,N,N,0,0,0,4790
옛날당면,4250,N,N,0,0,0,4250
옛날당면,4500,N,N,0,0,0,4500
옛날당면,6290,N,N,0,0,0,6290
옛날당면,5000,N,N,0,0,0,5000
옛날당면,6000,N,N,0,0,0,6000
옛날당면,5500,N,N,0,0,0,5500
옛날당면,5200,N,N,0,0,0,5200
옛날당면,4900,N,N,1,0,1,2450
옛날당면,4950,N,N,0,0,0,4950
옛날당면,4000,N,N,0,0,0,4000
옛날당면,3600,N,N,0,0,0,3600
옛날당면,5700,N,N,0,0,0,5700
옛날당면,5800,N,N,0,0,0,5800
고소한국산콩두부(부침용)(대상),3650,N,N,0,0,0,3650
고소한국산콩두부(부침용)(대상),2700,N,N,0,0,0,2700
고소한국산콩두부(부침용)(대상),3750,N,N,0,0,0,3750
고소한국산콩두부(부침용)(대상),3950,N,N,1,0,1,1975
풀무원 국산콩두부(찌개용)(380g),3900,N,N,0,0,0,3900
풀무원 국산콩두부(찌개용)(380g),3600,N,N,1,0,0,3600
행복한콩 노릇하게잘구워지는 부침두부,1590,N,N,0,0,0,1590
행복한콩 노릇하게잘구워지는 부침두부,1380,N,N,0,0,0,1380
행복한콩 노릇하게잘구워지는 부침두부,1000,N,N,0,0,0,1000
행복한콩 노릇하게잘구워지는 부침두부,990,N,N,0,0,0,990
행복한콩 노릇하게잘구워지는 부침두부,1190,N,N,0,0,0,1190
행복한콩 노릇하게잘구워지는 부침두부,1200,N,N,0,0,0,1200
행복한콩 노릇하게잘구워지는 부침두부,1290,N,N,0,0,0,1290
행복한콩 노릇하게잘구워지는 부침두부,1600,N,N,0,0,0,1600
행복한콩 노릇하게잘구워지는 부침두부,1300,N,N,0,0,0,1300
행복한콩 노릇하게잘구워지는 부침두부,1040,N,N,1,0,1,520
